index,park,city
1,어릴 때는 놀이터가 크다고 생각했는데 ..어느 순간 이렇게 작다고 느껴졌을까,..여기는 사람들이 너무 많네
2,어묵 국물을 종이컵에 따라 마시면 손도 따뜻하고 몸도 따뜻해져서 좋은 거 같아,비 오니까 탁했던 공기가 맑아진 거 같아
3,Z내가 특별한 사람이 될 수 있을까? |응|누군가에게 특별한 사람이 된다는 것은 아직 모르지만 ...나쁘지 않을 거 같아|글쎄|어려운 일이지 ..아마 평생 될 수 없는 것일지도 모르고,옆에 카페에서 작게 음악이 들리는 거 같아
4,Z소원이라는 것은 나중에 이루어지는 것일까? |그럼|간절히 바란다면 이루어지겠지. 나의 소원도 너의 소원도 언젠가는 말이야 | ... |(말없이 하늘을 쳐다보고 있다) ...잠시 다른 생각을 했어,맛있는 냄새가 비바람 속에서 전해져 와
5,Z쓰레기가 보이면 잘 줍는 편이니? |주워|좋은 일을 하는구나. 그걸 떠나서 습관적으로 당연하게 생각하는 세상이 올까|안 주워|...사실 나도 잘 안 줍는 편이야. 그러면 안 된다는 것을 알면서도,회색빛 하늘에 전깃줄이 마치 거미줄처럼 처져 있어
6,Z(손으로 빗방울을 만지고 있다)|본다|..이렇게 하면 손에 맞는 기분이 좋아서 하는 거야|따라한다|..같이 하니까 좋네. 이렇게 하면 손에 닿는 느낌이 좋으니까,다양한 사람들을 보게 되는 거 같아. 저기 지나가는 사람은 아주 바쁜 것 같아
7,Z오르골을 본 적 있니? |있어|나무로 만든 오르골을 돌려 본 적 있는데 소리가 너무 맑아서 좋았어 |없어|기회가 되면 다양한 오르골을 보렴. 나는 나무로 만든 오르골을 봤어,군중 속에 있어도 나는 혼자구나. 살면서 나를 제대로 알아봐 주는 사람이 몇이나 될까
8,Z길 건너편에 맛있는 제과점이 있는데 나중에 갈래? | 응|초코칩 쿠키가 촉촉하면서도 바삭한데 꼭 먹어보고 싶어 |아니|별로 안 좋아하는구나. 다른 거 먹으러 가도 좋아,분식점에서 맛있는 냄새가 나
9,Z집에 돌아가면 바로 쉬고 싶은데.. |눕기|그렇게 되면 몸이 게을러지고 말 거야. 적어도 정리는 해야지|씻기|외출을 하고 난 후에 씻는 것은 필수야. 바깥에는 오염된 것이 많으니까,어디선가 고소한 빵 냄새가 나는 거 같아
10,Z슬슬 집으로 돌아갈까? |가자|그럼 조금만 더 있다가 가도록 하자. 공기의 시원함을 더 느끼고 싶어 |아직|나도 더 머무르고 싶어. 좀 쌀쌀하지만 견딜만하니까,(길가에 굴러다니는 쓰레기를 보고 있다)
11,Z만남이 있으면 헤어지는 법이야. 언젠가 나에게 방문을 안 하는 날이 오겠지|그래|그래도 시간이 지나면 내가 있었다는 걸 기억해줬으면 좋겠어 ..정말 고마워 친구 |아니야|..(고개를 돌렸다)말이라도 고마워 ..친구,어디를 가든 길바닥에 쓰레기가 널려있어. 하나의 쓰레기가 계속 쌓이는 것을 깨진 유리창의 법칙이라 불러
12,Z말하는 대로 이루어지면 세상은 좋아질까 나빠질까? |글쎄 |그것을 이용해서 좋아진다면 정말 좋겠지만 악용하는 사람들이 있겠지|좋아져|어느 시점에 생각하는가에 따라서 좋아진다고 생각할 수 있지,인생에 장애물이 없는 것은 있을 수 없는 일이야. 그렇기에 값어치가 있는 것일까
13,Z순대가 좋아 떡볶이가 좋아?|순대 |순대를 떡볶이 국물에 찍어 먹으면 맛있어서 좋아. 소금에 찍어 먹어도 좋고|떡볶이|떡볶이는 어묵과 떡이 쫄깃해서 좋아. 매운 거는 선호하지 않는 편이지만,언젠가 여러 곳을 돌아다니며 사람들을 만날 거야. 우물 안 개구리가 될 수는 없어. 평생
14,바람이 좀 추운 거 같아,어릴 때 길에서 뛰어가다 넘어졌었어. 무릎이 정말 아팠지
15,천둥소리는 많이 들었지만 실제로 봤던 건 적은 거 같아,(발밑에 고인 물을 바라보고 있다)
16,(바닥에 장화 주변으로 물웅덩이가 생기는 것을 보고 있다),(우산 끝에 매달린 빗방울을 보고 있다)
17,(저 멀리 지렁이가 기어가고 있다. 한참을 쳐다보고 있다),내가 원하는 것을 언젠가 이루고 싶어. 노력은 해야겠지
18,주인 없는 가게의 주인은 누구일까? 정말 없는 것인지 궁금해,모든 사람이 나를 쳐다본다면 내가 무엇을 잘못했나 하고 생각하게 돼
19,비 오는 날에 개구리 소리를 들어본 지 오래된 거 같아. 어디에 숨어있을까,Z하늘에서 새가 날아가는 것을 본 적이 있니?|응|도시에는 비둘기나 참새가 많이 있어서 보기 쉬운 거 같아 |아니|비가 와서 그런지 날아가는 새를 보기 힘든 거 같아
20,(멀리서 피아노 소리가 들린다) 근처에 피아노학원 있나 봐,Z요즘 다양한 인형들이 있던데 인형 좋아하니?|좋아|푹신하고 귀엽고 촉감이 좋아. 장식도 할 수 있고| 싫어|나도 무섭게 생긴 인형은 좋아하는 편은 아니야
21,비내음이 그리 나쁘지는 않은 거 같아,Z바람에 우산이 뒤집힌 적이 있니?|있어|길 한복판에서 우산 모양이 안테나처럼 되어서 민망한 적이 있어 ..부끄러웠지 |없어 |우산이 튼튼한가 보구나. 그러다 망가지면 슬플 거야
22,우산이 투명해서 빗방울 잘 보여. 그래서 토독토독 소리도 더 잘 들리는 거 같고,Z사람이 많은 것이 좋아?|좋아|북적북적한 게 좋지. 많은 사람들이 살아가는 모습을 볼 수 있으니까| 싫어|많으면 복잡할 수 있어. 조용한 것도 나쁘지
23,길거리에 한사람이 쓰레기를 버리기 시작하면 끝이 없는 거 같아,Z순대 먹을 때 떡볶이도 같이 사 먹니?|먹어|순대를 떡볶이 국물에 찍어 먹을 수 있어서 좋아. 둘이 궁합도 잘 맞고|안 먹어|순대의 그 맛만 느끼려면 다른 것을 시켜 먹을 필요가 없지
