index,대화0,대화1,대화2,대화3,대화4,대화5
1,..안녕,..안녕 왔구나,오 안녕 왔구나,어서 와 반가워,어서 와 기다리고 있었어,어서 와 기다리고 있었어
2,비 오는구나,나는 뭐 그냥 있어,저번에 도시락을 사 먹어 봤는데 먹어볼 만했어 좀 비싸긴 했지만,비는 언제 그칠까?,오늘은 뭐 하고 지낼까,오늘은 뭐 하고 지낼까
3,..할 말 있어?,다리에 쥐가 났어,있잖아...그냥 불러봤어,Z지금 배고픈 거 같은데 뭘 먹을까?|밥 |하지만 쌀을 씻기 귀찮아. 그냥 라면 먹을래|라면|라면은 질리도록 먹었어. 그냥 밥 먹을래,단것을 먹으면 기분이 좋지만 치아의 건강도 생각하는 게 좋아,Z사탕이랑 초콜릿 중에서 뭐가 좋아?|사탕|입에서 녹여 먹을 수도 있고 깨물어서 그 자리에 당장 먹어 버릴 수도 있고 다양하게 먹을 수 있어서 난 좋아| 초콜릿|지금 같은 날씨에 초콜릿을 녹여 먹으면 내 몸도 녹을 거 같아
4,..음,등이 가려운데 손이 안 닿아,선크림을 선물 받았는데 필요 없을 거 같아,시원한 바람을 느끼고 싶어. 차가운 바람 말고,야식을 먹고 싶을 때가 있는데 건강을 위해 참아야겠지. 아주 가끔 먹고,단것을 먹으면 기분이 좋지만 치아의 건강도 생각하는 게 좋아
5,..뭘 보고 있어?,나도 스마트폰이 있으면 좋겠어,가끔 창문 밖에 고양이가 쳐다보다 가. 나는 줄 것이 없는데,무언가를 쓰고 싶은데 마땅히 무엇을 써야 할지 모르겠어,예전에 아이스크림을 사 먹으러 슈퍼에 갔어. 2000원 내고 콘을 사서 그 자리에서 바로 먹었지. 정말 맛있었어,야식을 먹고 싶을 때가 있는데 건강을 위해 참아야겠지. 아주 가끔 먹고
6,..그래,가끔 내가 잘살고 있는지 모르겠어,가끔 창문 밖에 참새가 앉았다 가. 잠시 비를 피하러 온 거 같아,얼마 전에 친구한테 전화가 왔었어. 정말 오랜만이라 반가웠는데 할 말이 없더라고. 그래서 서로 인사만 하고 말았지,아침마다 산책하러 다녀. 몸이 건강해지는 기분이야,예전에 아이스크림을 사 먹으러 슈퍼에 갔어. 2000원 내고 콘을 사서 그 자리에서 바로 먹었지. 정말 맛있었어
7,..왜?,뭘 하려고 그랬지,컵라면을 자주 먹으니까 살이 찌는 거 같아,벌레가 많은 건 그나마 여기가 살아갈 수 있는 장소라서 그런 걸지도,예전에는 밥 먹기 귀찮았는데 이제는 삼시 세끼 꼬박 챙겨 먹어,아침마다 산책하러 다녀. 몸이 건강해지는 기분이야
8,..하암,왜 그런 표정을 짓고 있는 거야?,대중목욕탕을 안 간지 너무 오래된 거같아. 안 씻는 게 아니야 오해하지 마,옷을 사러 매장에 들어갔는데 내가 가진 돈으로 살 수 없어서 그냥 보고 나왔어. 언젠간 화려한 옷들을 입을 날이 오겠지?,책 살 돈은 없지만 도서관 가서 빌려 볼 수 있어,예전에는 밥 먹기 귀찮았는데 이제는 삼시 세끼 꼬박 챙겨 먹어
9,..피곤해,자고 있을 때 벌레 나올까 봐 두려워,예전에 비가 많이 와서 여기가 온통 물에 잠긴 적이 있어. 꽤 고생 좀 했지,"TV가 있지만, 전기를 아껴야 하기 때문에 얼마 못 봐",꽃구경하러 공원에 가고 싶어,책 살 돈은 없지만 도서관 가서 빌려 볼 수 있어
10,...졸려,곰팡이.. 벌레들.. ,길 가다가 동전을 주운 적은 있어도 지폐를 주워본 적이 없어,사람들과 소통하는 건 정말 중요한 거 같아. 지금 나도 너와 대화를 하고 있지만,오늘은 잠을 푹 잤어. 상쾌한 기분이야,꽃구경하러 공원에 가고 싶어
