index,park,city
1,/어/릴/ /때/는/ /놀/이/터/가/ /크/다/고/ /생/각/했/는/데/ /././어/느/ /순/간/ /이/렇/게/ /작/다/고/ /느/껴/졌/을/까,/././여/기/는/ /사/람/들/이/ /너/무/ /많/네/
2,/어/묵/ /국/물/을/ /종/이/컵/에/ /따/라/ /마/시/면/ /손/도/ /따/뜻/하/고/ /몸/도/ /따/뜻/해/져/서/ /좋/은/ /거/ /같/아,/비/ /오/니/까/ /탁/했/던/ /공/기/가/ /맑/아/진/ /거/ /같/아/
3,q/내/가/ /특/별/한/ /사/람/이/ /될/ /수/ /있/을/까/?/ /y/ / /응/ / /n/ /글/쎄/ / /+/누/군/가/에/게/ /특/별/한/ /사/람/이/ /된/다/는/ /것/은/ /아/직/ /모/르/지/만/ /./././나/쁘/지/ /않/을/ /거/ /같/아/-/ /*/어/려/운/ /일/이/지/ /././아/마/ /평/생/ /될/ /수/ /없/는/ /것/일/지/도/ /모/르/고/=/,/옆/에/ /카/페/에/서/ /작/게/ /음/악/이/ /들/리/는/ /거/ /같/아/
4,q/소/원/이/라/는/ /것/은/ /나/중/에/ /이/루/어/지/는/ /것/일/까/?/ /y/ /그/럼/ / /n/ /./././ /+/간/절/히/ /바/란/다/면/ /이/루/어/지/겠/지/./ /나/의/ /소/원/도/ /너/의/ /소/원/도/ /언/젠/가/는/ /말/이/야/-/ /*/(/말/없/이/ /하/늘/을/ /쳐/다/보/고/ /있/다/./)/ /./././잠/시/ /다/른/ /생/각/을/ /했/어/=/,/맛/있/는/ /냄/새/가/ /비/바/람/ /속/에/서/ /전/해/져/ /와/
5,q/쓰/레/기/가/ /보/이/면/ /잘/ /줍/는/ /편/이/니/?/ /y/ /주/워/ / /n/안/ /주/워/ /+/좋/은/ /일/을/ /하/는/구/나/./ /그/걸/ /떠/나/서/ /습/관/적/으/로/ /당/연/하/게/ /생/각/하/는/ /세/상/이/ /올/까/-/ /*/./././사/실/ /나/도/ /잘/ /안/ /줍/는/ /편/이/야/./ /그/러/면/ /안/ /된/다/는/ /것/을/ /알/면/서/도/=/,/회/색/빛/ /하/늘/에/ /전/깃/줄/이/ /마/치/ /거/미/줄/처/럼/ /처/져/ /있/어/
6,q/(/손/으/로/ /빗/방/울/을/ /만/지/고/ /있/다/)/ /y/ /본/다/ / /n/따/라/한/다/ /+/././이/렇/게/ /하/면/ /손/에/ /맞/는/ /기/분/이/ /좋/아/서/ /하/는/ /거/야/-/ /*/././같/이/ /하/니/까/ /좋/네/./ /이/렇/게/ /하/면/ /손/에/ /닿/는/ /느/낌/이/ /좋/으/니/까/=/,/다/양/한/ /사/람/들/을/ /보/게/ /되/는/ /거/ /같/아/./ /저/기/ /지/나/가/는/ /사/람/은/ /아/주/ /바/쁜/ /것/ /같/아/
7,q/오/르/골/을/ /본/ /적/ /있/니/?/ /y/ /있/어/ / /n/ /없/어/ / /+/나/무/로/ /만/든/ /오/르/골/을/ /돌/려/ /본/ /적/ /있/는/데/ /소/리/가/ /너/무/ /맑/아/서/ /좋/았/어/-/ /*/기/회/가/ /되/면/ /다/양/한/ /오/르/골/을/ /보/렴/./ /나/는/ /나/무/로/ /만/든/ /오/르/골/을/ /봤/어/=/,/군/중/ /속/에/ /있/어/도/ /나/는/ /혼/자/구/나/./ /살/면/서/ /나/를/ /제/대/로/ /알/아/봐/ /주/는/ /사/람/이/ /몇/이/나/ /될/까/
8,q/길/ /건/너/편/에/ /맛/있/는/ /제/과/점/이/ /있/는/데/ /나/중/에/ /갈/래/?/ /y/ / /응/ / /n/ /아/니/ / /+/초/코/칩/ /쿠/키/가/ /촉/촉/하/면/서/도/ /바/삭/한/데/ /꼭/ /먹/어/보/고/ /싶/어/-/ /*/별/로/ /안/ /좋/아/하/는/구/나/./ /다/른/ /거/ /먹/으/러/ /가/도/ /좋/아/=/,/분/식/점/에/서/ /맛/있/는/ /냄/새/가/ /나/
9,q/집/에/ /돌/아/가/면/ /바/로/ /쉬/고/ /싶/은/데/././ /y/ /눕/기/ / /n/ /씻/기/ / /+/그/렇/게/ /되/면/ /몸/이/ /게/을/러/지/고/ /말/ /거/야/./ /적/어/도/ /정/리/는/ /해/야/지/-/ /*/외/출/을/ /하/고/ /난/ /후/에/ /씻/는/ /것/은/ /필/수/야/./ /바/깥/에/는/ /오/염/된/ /것/이/ /많/으/니/까/=/,/어/디/선/가/ /고/소/한/ /빵/ /냄/새/가/ /나/는/ /거/ /같/아/
10,q/슬/슬/ /집/으/로/ /돌/아/갈/까/?/ /y/ /가/자/ / /n/ /아/직/ / /+/그/럼/ /조/금/만/ /더/ /있/다/가/ /가/도/록/ /하/자/./ /공/기/의/ /시/원/함/을/ /더/ /느/끼/고/ /싶/어/-/ /*/나/도/ /더/ /머/무/르/고/ /싶/어/./ /좀/ /쌀/쌀/하/지/만/ /견/딜/만/하/니/까/=/,/(/길/가/에/ /굴/러/다/니/는/ /쓰/레/기/를/ /보/고/ /있/다/)/
11,q/만/남/이/ /있/으/면/ /헤/어/지/는/ /법/이/야/./ /언/젠/가/ /나/에/게/ /방/문/을/ /안/ /하/는/ /날/이/ /오/겠/지/ /y/ /그/래/ / /n/ /아/니/야/ /+/그/래/도/ /시/간/이/ /지/나/면/ /내/가/ /있/었/다/는/ /걸/ /기/억/해/줬/으/면/ /좋/겠/어/ /././정/말/ /고/마/워/ /친/구/-/ /*/././(/고/개/를/ /돌/렸/다/./)/말/이/라/도/ /고/마/워/ /././친/구/=/,/어/디/를/ /가/든/ /길/바/닥/에/ /쓰/레/기/가/ /널/려/있/어/./ /하/나/의/ /쓰/레/기/가/ /계/속/ /쌓/이/는/ /것/을/ /깨/진/ /유/리/창/의/ /법/칙/이/라/ /불/러/
